0000,KŘP HL. M. PRAHY,1,1000,contact
161612,OOP Havlíčkův Brod,3,1000,contact
141211,OOP Konice,3,1000,contact
001215,MOP Radotín OŘP Praha II.,3,1000,contact
020119,OOP Trhové Sviny,3,1000,contact
031112,OOP Kaznějov,3,1000,contact
180513,OOP Chrastava,3,1000,contact
060312,OOP Ivančice,3,1000,contact
011213,OOP Roztoky,3,1000,contact
1614,ÚO Žďár nad Sázavou,2,1000,contact
010319,OOP Stochov,3,1000,contact
070214,OOP Frýdek-Místek,3,1000,contact
140520,OOP Velká Bystřice,3,1000,contact
031113,OOP Kralovice,3,1000,contact
030515,OOP Plzeň - Bory,3,1000,contact
001318,MOP Kyje Praha III.,3,1000,contact
190316,OOP Nejdek,3,1000,contact
0111,ÚO Příbram,2,1000,contact
020815,OOP Mladá Vožice,3,1000,contact
180413,OOP Smržovka,3,1000,contact
1600,KŘP Kraje Vysočina,1,1000,contact
0115,ÚO Praha Venkov-Východ,2,1000,contact
1801,ÚO Česká Lípa,2,1000,contact
060614,OOP Kyjov,3,1000,contact
051020,OOP Špindlerův Mlýn,3,1000,contact
141214,OOP Plumlov,3,1000,contact
070114,OOP Město Albrechtice,3,1000,contact
050217,OOP Třebechovice pod Orebem,3,1000,contact
0308,ÚO Rokycany,2,1000,contact
151111,OOP Bojkovice,3,1000,contact
001422,MOP Uhříněves Praha IV.,3,1000,contact
160711,OOP Jihlava,3,1000,contact
0700,KŘP Moravskoslezského Kraje,1,1000,contact
040918,OOP Teplice,3,1000,contact
040917,OOP Prosetice,3,1000,contact
1610,ÚO Třebíč,2,1000,contact
060210,OOP Brno - Střed,3,1000,contact
0203,ÚO Jindřichův Hradec,2,1000,contact
070218,OOP Palkovice,3,1000,contact
140518,OOP Šternberk,3,1000,contact
161415,OOP Nové Město na Moravě,3,1000,contact
041013,OOP Ústí N/Labem - Město,3,1000,contact
180117,OOP Stráž pod Ralskem,3,1000,contact
040812,OOP Litvínov,3,1000,contact
010618,OOP Horní Počaply,3,1000,contact
180414,OOP Tanvald,3,1000,contact
180115,OOP Mimoň,3,1000,contact
040212,OOP Česká Kamenice,3,1000,contact
180416,OOP Železný Brod,3,1000,contact
001113,MOP Můstek Praha I.,3,1000,contact
1709,ÚO Svitavy,2,1000,contact
060322,OOP Rajhrad,3,1000,contact
020816,OOP Sezimovo Ústí,3,1000,contact
030112,OOP Holýšov,3,1000,contact
020810,OOP Bechyně,3,1000,contact
050216,OOP Holohlavy,3,1000,contact
0310,ÚO Tachov,2,1000,contact
031117,OOP Přeštice,3,1000,contact
070317,OOP Bohumín,3,1000,contact
070318,OOP Orlová,3,1000,contact
0100,KŘP Středočeského Kraje,1,1000,contact
171115,OOP Ústí nad Orlicí,3,1000,contact
180511,OOP Frýdlant,3,1000,contact
190314,OOP Karlovy Vary - Rybáře,3,1000,contact
051018,OOP Vrchlabí,3,1000,contact
011412,OOP Čestlice,3,1000,contact
010216,OOP Zdice,3,1000,contact
020817,OOP Soběslav,3,1000,contact
060313,OOP Kuřim,3,1000,contact
070415,OOP Odry,3,1000,contact
050713,OOP Rokytnice v Orlických horách,3,1000,contact
070411,OOP Frenštát pod Radhoštěm,3,1000,contact
041016,OOP Všebořice,3,1000,contact
001214,MOP Barrandov OŘP Praha II.,3,1000,contact
010714,OOP Dobrovice,3,1000,contact
001112,MOP Malá Strana Praha I.,3,1000,contact
020818,OOP Tábor,3,1000,contact
020516,OOP Protivín,3,1000,contact
040310,OOP Březno,3,1000,contact
060211,OOP Brno - Žabovřesky,3,1000,contact
020714,OOP Strakonice,3,1000,contact
070721,OOP Ostrava - Poruba 2,3,1000,contact
0202,ÚO Český Krumlov,2,1000,contact
060612,OOP Dubňany,3,1000,contact
070312,OOP Havířov 1,3,1000,contact
011419,OOP Kamenice,3,1000,contact
001211,MOP Vinohrady OŘP Praha II.,3,1000,contact
010612,OOP Lužec nad Vltavou,3,1000,contact
181110,OOP Jilemnice,3,1000,contact
1804,ÚO Jablonec nad Nisou,2,1000,contact
0105,ÚO Kutná Hora,2,1000,contact
060615,OOP Strážnice,3,1000,contact
010413,OOP Kouřim,3,1000,contact
040920,OOP Trnovany,3,1000,contact
060613,OOP Hodonín,3,1000,contact
010314,OOP Kladno,3,1000,contact
060219,OOP Brno - Bystrc,3,1000,contact
181111,OOP Lomnice nad Popelkou,3,1000,contact
010410,OOP Český Brod,3,1000,contact
0613,ÚO Znojmo,2,1000,contact
010712,OOP Benátky nad Jizerou,3,1000,contact
1700,KŘP Pardubického Kraje,1,1000,contact
140514,OOP Lutín,3,1000,contact
181112,OOP Rokytnice nad Jizerou,3,1000,contact
0207,ÚO Strakonice,2,1000,contact
170310,OOP Heřmanův Městec,3,1000,contact
1902,ÚO Cheb,2,1000,contact
141112,OOP Zlaté Hory,3,1000,contact
041012,OOP Neštěmice,3,1000,contact
010119,OOP Votice,3,1000,contact
070320,OOP Dětmarovice,3,1000,contact
020717,OOP Volyně,3,1000,contact
070310,OOP Těrlicko,3,1000,contact
070417,OOP Studénka,3,1000,contact
180410,OOP Jablonec N/Nisou,3,1000,contact
170311,OOP Hlinsko,3,1000,contact
001311,MOP Žižkov Praha III.,3,1000,contact
020110,OOP České Budějovice,3,1000,contact
140522,OOP Olomouc 2,3,1000,contact
010411,OOP Kolín,3,1000,contact
020114,OOP Boršov nad Vltavou,3,1000,contact
190210,OOP Aš,3,1000,contact
061816,OOP Letovice,3,1000,contact
010320,OOP Kladno - venkov,3,1000,contact
020612,OOP Netolice,3,1000,contact
011515,OOP Odolená Voda,3,1000,contact
