11,2003,12
17,2004,6
9,2003,10
15,2004,4
14,2004,3
13,2004,2
12,2004,1
51,2007,4
52,2007,5
53,2007,6
54,2007,7
16,2004,5
20,2004,9
19,2004,8
10,2003,11
55,2007,8
56,2007,9
0,2003,1
1,2003,2
2,2003,3
3,2003,4
4,2003,5
5,2003,6
6,2003,7
7,2003,8
8,2003,9
23,2004,12
22,2004,11
21,2004,10
106,2011,11
105,2011,10
48,2007,1
49,2007,2
50,2007,3
95,2010,12
93,2010,10
94,2010,11
18,2004,7
77,2009,6
78,2009,7
75,2009,4
76,2009,5
73,2009,2
74,2009,3
72,2009,1
79,2009,8
80,2009,9
117,2012,10
118,2012,11
119,2012,12
46,2006,11
45,2006,10
47,2006,12
128,2013,9
131,2013,12
108,2012,1
59,2007,12
57,2007,10
58,2007,11
71,2008,12
70,2008,11
69,2008,10
33,2005,10
34,2005,11
35,2005,12
96,2011,1
98,2011,3
97,2011,2
100,2011,5
99,2011,4
102,2011,7
101,2011,6
36,2006,1
38,2006,3
37,2006,2
40,2006,5
39,2006,4
42,2006,7
41,2006,6
44,2006,9
43,2006,8
109,2012,2
110,2012,3
31,2005,8
32,2005,9
113,2012,6
114,2012,7
111,2012,4
112,2012,5
25,2005,2
26,2005,3
115,2012,8
24,2005,1
29,2005,6
30,2005,7
27,2005,4
28,2005,5
123,2013,4
116,2012,9
104,2011,9
103,2011,8
66,2008,7
65,2008,6
83,2009,12
127,2013,8
107,2011,12
124,2013,5
130,2013,11
129,2013,10
87,2010,4
88,2010,5
89,2010,6
90,2010,7
84,2010,1
85,2010,2
86,2010,3
91,2010,8
92,2010,9
62,2008,3
61,2008,2
60,2008,1
81,2009,10
82,2009,11
64,2008,5
63,2008,4
126,2013,7
125,2013,6
68,2008,9
67,2008,8
122,2013,3
121,2013,2
120,2013,1
