"101";"Vraždy - loupežné";"Murder motivated by robbery";"0";"0";"0";"1";12
"102";"Vraždy - sexuální";"Sexual murder";"0";"0";"0";"2";13
"103";"Vraždy - motivované osobními vztahy";"Murder motivated by personal relations";"0";"0";"0";"3";14
"104";"Vraždy - na objednávku";"Contracted murder";"0";"0";"0";"4";15
"105";"Vraždy - novorozence matkou";"Infanticide";"0";"0";"0";"5";16
"106";"Vraždy - ostatní";"Miscellanous murder";"0";"0";"0";"6";17
"101-106";"Vraždy";"Murder";"1";"0";"1";"0";1
"111";"Usmrcení lidského plodu - pomoc a svádění ženy";"Intentional death of fetus – aiding or abetting";"0";"0";"0";"8";19
"112";"Usmrcení lidského plodu - se souhlasem ženy";"Intentional death of fetus – with the consent of mother";"0";"0";"0";"9";20
"113";"Usmrcení lidského plodu - bez souhlasu ženy";"Intentional death of fetus – without the consent of mother";"0";"0";"0";"10";21
"115";"Zabití";"Killing";"0";"0";"0";"11";22
"116";"Usmrcení z nedbalosti";"Death by negligence";"0";"0";"0";"12";23
"121";"Opuštění dítěte";"Abandonment of child";"0";"0";"0";"13";24
"122";"Únos";"Kidnapping";"0";"0";"0";"14";25
"131";"Loupež";"Robbery";"0";"0";"0";"15";26
"132";"Loupeže na finančních institucích";"Bank robbery";"0";"0";"0";"16";27
"141";"Násilí proti úřední osobě a orgánu veřejné moci - mimo příslušníka policie a obecní policie";"Violence against public official (except police)";"0";"0";"0";"17";28
"142";"Násilí proti úřední osobě a orgánu veřejné moci - na příslušníkovi Policie ČR";"Violence against national police officer";"0";"0";"0";"18";29
"143";"Násilí proti úřední osobě a orgánu veřejné moci - na příslušníkovi obecní policie";"Violence against municipal police officer";"0";"0";"0";"19";30
"151";"Úmyslné ublížení na zdraví";"Intentional bodily harm";"0";"0";"0";"20";31
"161";"Rvačky";"Affray";"0";"0";"0";"21";32
"171";"Násilí a vyhrožování proti skupině obyvatel a jednotlivci";"Violence against group or individual";"0";"0";"0";"22";33
"172";"Braní rukojmí";"Hostage taking";"0";"0";"0";"23";34
"173";"Nebezpečné vyhrožování";"Threatening";"0";"0";"0";"24";35
"174";"Nebezpečné pronásledování";"Stalking";"0";"0";"0";"25";36
"181";"Vydírání";"Extortion";"0";"0";"0";"26";37
"182";"Omezování a zbavení osobní svobody";"Restriction and deprivation of personal freedom";"0";"0";"0";"27";38
"183";"Porušování domovní svobody";"Illegal entry into dwelling";"0";"0";"0";"28";39
"184";"Neoprávněný zásah do práva k domu, bytu nebo nebytovému prostoru";"Unlawful interference with a title to property";"0";"0";"0";"29";40
"185";"Týrání svěřené osoby";"Abuse of a person entrusted to one´s care";"0";"0";"0";"30";41
"186";"Týrání osoby žijící ve společném obydlí";"Abuse of a person living together in a dwelling";"0";"0";"0";"31";42
